"Username","B","F","S","U"
"571a82d06a1c6300094c6a19",45,75,62.5,5
"59462a6538e39c0001280168",15,52.5,42.5,10
"5a19ec537542890001aa7f8e",45,77.5,82.5,17.5
"5a9a64376219a30001d3455c",15,72.5,57.5,0
"5ae7f99bd5ec5e000175f097",30,80,67.5,2.5
"5aeabf2c15a9c300011acbc3",22.5,50,42.5,7.5
"5b8aead9bfaebb0001e18e24",40,75,45,10
"5bf28b48ae1b600001d403dc",40,77.5,62.5,5
"5c44cd8cf5e3bc00014eb7ba",65,95,77.5,35
"5c48f53437da740001e8974f",50,85,87.5,5
"5c4a28e0b8f0e3000192feda",32.5,70,62.5,2.5
"5c7cf048cdb6aa001667f664",45,82.5,72.5,15
"5c8839294b0de2000135270f",25,70,57.5,0
"5cbc19c1ff41f900131b8297",2.5,35,25,5
"5ccdc8af8866b10015fff794",62.5,85,85,17.5
"5d41caffac956a00012ae959",70,90,82.5,25
"5d74125de8351c0001f3fb28",30,82.5,60,5
"5dcfb1534a113a0c4f2d1b4b",12.5,47.5,42.5,5
"5dfcdb9debfaeb000df91e5a",22.5,62.5,67.5,2.5
"5e12202adc79bd8a6c74499b",30,67.5,60,10
"5e3363d98451543389de4bf8",37.5,72.5,62.5,10
"5e6eb94c3ac32e47bd23fa08",17.5,82.5,77.5,2.5
"5e8a99dd28310c73e6e02f21",15,50,32.5,2.5
"5e8f9f9e36e20a295de9ae24",50,82.5,72.5,20
"5e948a0f1d2e517dbae5c1ed",42.5,87.5,65,15
"5e949ca2c09edb04cc9f1f3b",60,90,77.5,25
"5ea01b9724d981029cad9541",5,27.5,12.5,2.5
"5eadbecb12e701466371419c",40,67.5,50,5
"5ec8ee3bff90f5000995d1b6",20,55,50,5
"5ecaf44b2be8f90e15524273",32.5,77.5,60,5
"5ecbf17c922a5d090b7dbde2",25,62.5,47.5,7.5
"5ecd74f6c4e70b0df895c03e",25,57.5,55,2.5
"5ee37ccb16ad19000c16585e",45,85,67.5,12.5
"5ee3f8e4f8b4750deab84dc3",35,77.5,67.5,10
"5ee9c6eb82a6e436011ecc86",25,80,57.5,17.5
"5ef9ea32170fdf79d44818dc",17.5,67.5,45,5
"5f05e24314e7c90bb6b43cc8",5,40,22.5,0
"w10057323_amw",17.5,30,27.5,0
"W975110_JEM",20,77.5,60,12.5
