Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
5c8ebaed13e167000176428f,avtbvm43kq,Trevor_EX2,1,1,2020-07-23T14:54:45-07:00,8.4325580596924,2,Pure_Unrelated.csv,JOL_S_VersionB.csv,"Size U B","Size U B",,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs.",Initial_Instruct,Instruct1,8191,,,-1,-1,,,,,1
5c8ebaed13e167000176428f,avtbvm43kq,Trevor_EX2,1,2,2020-07-23T14:55:15-07:00,29.907502889633,2,Pure_Unrelated.csv,JOL_S_VersionB.csv,"Size U B","Size U B",,,,,,0,Instruct,-,5,"As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,29546,,,-1,-1,,,,,1
5c8ebaed13e167000176428f,avtbvm43kq,Trevor_EX2,1,3,2020-07-23T14:55:32-07:00,16.810791015625,2,Pure_Unrelated.csv,JOL_S_VersionB.csv,"Size U B","Size U B",,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,16280,,,-1,-1,,,,,1
5c8ebaed13e167000176428f,avtbvm43kq,Trevor_EX2,1,4,2020-07-23T14:55:49-07:00,16.537296056747,2,Pure_Unrelated.csv,JOL_S_VersionB.csv,"Size U B","Size U B",,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,16053,,,-1,-1,,,,,1
5c8ebaed13e167000176428f,avtbvm43kq,Trevor_EX2,1,5,2020-07-23T14:55:51-07:00,2.0514290332794,2,Pure_Unrelated.csv,JOL_S_VersionB.csv,"Size U B","Size U B",,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,1703,,,-1,-1,,,,,1
5c8ebaed13e167000176428f,avtbvm43kq,Trevor_EX2,1,6,2020-07-23T14:56:00-07:00,8.9218180179596,2,Pure_Unrelated.csv,JOL_S_VersionB.csv,"Size U B","Size U B",CARROT,POTATO,BUFFER3,Buffer,91,52,JOL_Small,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,8489,,,5676,5711,,,,45,1
5c8ebaed13e167000176428f,avtbvm43kq,Trevor_EX2,1,7,2020-07-23T14:56:07-07:00,7.3992578983307,2,Pure_Unrelated.csv,JOL_S_VersionB.csv,"Size U B","Size U B",CAMP,ADVENTURE,BUFFER3,Buffer,95,53,JOL_Small,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,7048,,,5404,5575,,,,55,1
5c8ebaed13e167000176428f,avtbvm43kq,Trevor_EX2,1,8,2020-07-23T14:56:12-07:00,5.066684961319,2,Pure_Unrelated.csv,JOL_S_VersionB.csv,"Size U B","Size U B",SHRIMP,FISH,BUFFER3,Buffer,93,56,JOL_Large,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,4709,,,3596,3744,,,,85,1
5c8ebaed13e167000176428f,avtbvm43kq,Trevor_EX2,1,9,2020-07-23T14:56:20-07:00,7.8410170078278,2,Pure_Unrelated.csv,JOL_S_VersionB.csv,"Size U B","Size U B",NOODLE,STRING,BUFFER3,Buffer,92,54,JOL_Small,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,7462,,,6451,6614,,,,75,1
5c8ebaed13e167000176428f,avtbvm43kq,Trevor_EX2,1,10,2020-07-23T14:56:23-07:00,3.4093270301819,2,Pure_Unrelated.csv,JOL_S_VersionB.csv,"Size U B","Size U B",ICE,FROZEN,BUFFER3,Buffer,94,55,JOL_Large,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,3066,,,1849,1961,,,,95,1
