"Username","JOL","Recall"
"59d4a376d1ab390001da2d36",2.675,2.5
"5a08ea4ab921bc0001e1c10a",23.875,7.5
"5b7b034558f9c1000163630e",11.025,12.5
"5bbca1aff1f9ba000141ed51",17.5,5
"5c57c0dad3cc6b0001d9f27a",45.75,17.5
"5cd05f58395afc00178f3918",23.775,25
"5cf89384abbbdf0015b69296",17.6,22.5
"5d1b9a5c720de60001e3d092",2.85,17.5
"5ded5708789cb34034edeca0",20.675,15
"5e6d403dfc5eff000b8329a5",34.85,65
"5e728270b099d308cbe299f7",17.75,17.5
"5e8ea2396c1dea158c64201f",20.25,22.5
"5e8f0692facc7d1c12b4c9a1",38.7368421052632,0
"5e9f840678eeb111db8791a7",41.4,10
"5ec3eb6fba4d1c07580361d7",8.675,15
"5ecc445313612d13075ef35f",45.825,12.5
"5ed193f07a20010f3b111f8f",36.725,22.5
"5ede34f5255765051d450b9f",23.125,5
"5ede7a750fcb900e98650b4f",46.175,77.5
"5edfc2644280d62da10b4add",12.725,12.5
"5ee7a70c55e80504fa3bc6ab",3,5
"5ee7d5e2b90cb30ab937a8b9",35.525,30
"5eeb8a086580b8325095e4c2",30.5,25
"5eebefc4011d131823cc946d",22.425,12.5
"5eed652a24c83c1975669e88",36.75,50
"5eefd5023c8aa10d725232c0",37.675,27.5
"5ef3be64ab97a515fee48860",52.375,2.5
"5ef516fac843781447f13719",62.925,2.5
"5efd41a487c4ec1945330e9a",25.5,12.5
"5eff4daa9f1ee84c8cf687db",38.375,12.5
"5f02af6b48794713aeb4fa60",50.625,5
"5f03144271d0604adc1a5e8b",47.1,5
"5f03925ce916352e06a548e5",76.65,5
"5f05b44498000b0600d6c910",64.0476190476191,40
"5f0d11458b49e51e2fc65c83",18.1,5
"5f0e14710d314a0b7748f665",7.25,10
"5f107c6479c9e00788c3df28",19.325,42.5
"5f118646a89ac3000b047862",20.75,37.5
"5f14359cc1b7a74789b1075c",15.025,2.5
"5f181fe8617dcb1ff653b88b",29.65,25
