Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
5e18762ae80b8e1495d584d7,gqqftedm9f,Trevor_EX2,1,1,2020-10-23T14:58:46-07:00,8.3372189998627,1,Pure_Unrelated.csv,SF_VersionA.csv,"Sans F A","Sans F A",,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs.",Initial_Instruct,Instruct1,7789,,,-1,-1,,,,,1
5e18762ae80b8e1495d584d7,gqqftedm9f,Trevor_EX2,1,2,2020-10-23T14:58:56-07:00,9.8783400058746,1,Pure_Unrelated.csv,SF_VersionA.csv,"Sans F A","Sans F A",,,,,,0,Instruct,-,5,"As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,9200,,,-1,-1,,,,,1
5e18762ae80b8e1495d584d7,gqqftedm9f,Trevor_EX2,1,3,2020-10-23T14:59:09-07:00,13.167924165726,1,Pure_Unrelated.csv,SF_VersionA.csv,"Sans F A","Sans F A",,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,12456,,,-1,-1,,,,,1
5e18762ae80b8e1495d584d7,gqqftedm9f,Trevor_EX2,1,4,2020-10-23T14:59:23-07:00,14.443817853928,1,Pure_Unrelated.csv,SF_VersionA.csv,"Sans F A","Sans F A",,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,13814,,,-1,-1,,,,,1
5e18762ae80b8e1495d584d7,gqqftedm9f,Trevor_EX2,1,5,2020-10-23T14:59:30-07:00,6.7574801445007,1,Pure_Unrelated.csv,SF_VersionA.csv,"Sans F A","Sans F A",,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,6017,,,-1,-1,,,,,1
5e18762ae80b8e1495d584d7,gqqftedm9f,Trevor_EX2,1,6,2020-10-23T14:59:43-07:00,13.520894050598,1,Pure_Unrelated.csv,SF_VersionA.csv,"Sans F A","Sans F A",SPACE,JAM,BUFFER1,Buffer,5,6,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,12688,,,8953,10160,,,,60,1
5e18762ae80b8e1495d584d7,gqqftedm9f,Trevor_EX2,1,7,2020-10-23T14:59:58-07:00,14.647301912308,1,Pure_Unrelated.csv,SF_VersionA.csv,"Sans F A","Sans F A",BASEBALL,CATCHER,BUFFER1,Buffer,2,2,JOL_SF,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,13502,,,8691,10305,,,,70,1
5e18762ae80b8e1495d584d7,gqqftedm9f,Trevor_EX2,1,8,2020-10-23T15:00:14-07:00,15.425893068314,1,Pure_Unrelated.csv,SF_VersionA.csv,"Sans F A","Sans F A",TREES,GREEN,BUFFER1,Buffer,1,4,JOL_SF,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,14641,,,9706,11941,,,,75,1
5e18762ae80b8e1495d584d7,gqqftedm9f,Trevor_EX2,1,9,2020-10-23T15:00:22-07:00,8.1796369552612,1,Pure_Unrelated.csv,SF_VersionA.csv,"Sans F A","Sans F A",PEANUT,BUTTER,BUFFER1,Buffer,3,3,JOL_SF,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,7376,,,3216,4561,,,,100,1
5e18762ae80b8e1495d584d7,gqqftedm9f,Trevor_EX2,1,10,2020-10-23T15:00:31-07:00,9.5904378890991,1,Pure_Unrelated.csv,SF_VersionA.csv,"Sans F A","Sans F A",SCARE,HIDE,BUFFER1,Buffer,4,5,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,8773,,,4622,5799,,,,50,1
5e18762ae80b8e1495d584d7,gqqftedm9f,Trevor_EX2,1,11,2020-10-23T15:00:41-07:00,9.5518980026245,1,Pure_Unrelated.csv,SF_VersionA.csv,"Sans F A","Sans F A",STRETCH,CLOTH,Study1,U,7,46,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",8851,,,3955,6174,,,,20,1
5e18762ae80b8e1495d584d7,gqqftedm9f,Trevor_EX2,1,12,2020-10-23T15:00:52-07:00,11.421715974808,1,Pure_Unrelated.csv,SF_VersionA.csv,"Sans F A","Sans F A",MIRROR,CHILDREN,Study1,U,24,25,JOL_SF,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",10538,,,6213,7237,,,,25,1
5e18762ae80b8e1495d584d7,gqqftedm9f,Trevor_EX2,1,13,2020-10-23T15:01:02-07:00,9.4898459911346,1,Pure_Unrelated.csv,SF_VersionA.csv,"Sans F A","Sans F A",RIPE,VERIFY,Study1,U,83,40,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",8432,,,4851,4851,,,,5,1
