Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
5f2e0bc767a4ed17d55942c7,k6ijgtdxb9,Trevor_EX2,1,1,2020-10-23T15:02:17-07:00,5.6218190193176,1,Pure_Unrelated.csv,SF_VersionA.csv,"Sans F A","Sans F A",,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs.",Initial_Instruct,Instruct1,5390,,,-1,-1,,,,,1
5f2e0bc767a4ed17d55942c7,k6ijgtdxb9,Trevor_EX2,1,2,2020-10-23T15:02:24-07:00,7.1799170970917,1,Pure_Unrelated.csv,SF_VersionA.csv,"Sans F A","Sans F A",,,,,,0,Instruct,-,5,"As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,6857,,,-1,-1,,,,,1
5f2e0bc767a4ed17d55942c7,k6ijgtdxb9,Trevor_EX2,1,3,2020-10-23T15:02:35-07:00,10.819010019302,1,Pure_Unrelated.csv,SF_VersionA.csv,"Sans F A","Sans F A",,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,10444,,,-1,-1,,,,,1
5f2e0bc767a4ed17d55942c7,k6ijgtdxb9,Trevor_EX2,1,4,2020-10-23T15:03:20-07:00,44.806428909302,1,Pure_Unrelated.csv,SF_VersionA.csv,"Sans F A","Sans F A",,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,44093,,,-1,-1,,,,,1
5f2e0bc767a4ed17d55942c7,k6ijgtdxb9,Trevor_EX2,1,5,2020-10-23T15:03:21-07:00,1.214282989502,1,Pure_Unrelated.csv,SF_VersionA.csv,"Sans F A","Sans F A",,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,908,,,-1,-1,,,,,1
5f2e0bc767a4ed17d55942c7,k6ijgtdxb9,Trevor_EX2,1,6,2020-10-23T15:03:29-07:00,7.923789024353,1,Pure_Unrelated.csv,SF_VersionA.csv,"Sans F A","Sans F A",TREES,GREEN,BUFFER1,Buffer,1,3,JOL_SF,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,7233,,,4406,5606,,,,70,1
5f2e0bc767a4ed17d55942c7,k6ijgtdxb9,Trevor_EX2,1,7,2020-10-23T15:03:36-07:00,7.2686789035797,1,Pure_Unrelated.csv,SF_VersionA.csv,"Sans F A","Sans F A",SCARE,HIDE,BUFFER1,Buffer,4,5,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,6950,,,2592,2858,,,,80,1
5f2e0bc767a4ed17d55942c7,k6ijgtdxb9,Trevor_EX2,1,8,2020-10-23T15:03:40-07:00,4.224004983902,1,Pure_Unrelated.csv,SF_VersionA.csv,"Sans F A","Sans F A",PEANUT,BUTTER,BUFFER1,Buffer,3,2,JOL_SF,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,3895,,,2206,2458,,,,100,1
5f2e0bc767a4ed17d55942c7,k6ijgtdxb9,Trevor_EX2,1,9,2020-10-23T15:03:44-07:00,3.6889851093292,1,Pure_Unrelated.csv,SF_VersionA.csv,"Sans F A","Sans F A",SPACE,JAM,BUFFER1,Buffer,5,4,JOL_SF,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,3356,,,2547,2741,,,,50,1
5f2e0bc767a4ed17d55942c7,k6ijgtdxb9,Trevor_EX2,1,10,2020-10-23T15:03:48-07:00,3.7640750408173,1,Pure_Unrelated.csv,SF_VersionA.csv,"Sans F A","Sans F A",BASEBALL,CATCHER,BUFFER1,Buffer,2,6,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,3422,,,2955,3036,,,,20,1
