Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
5cacce6db3e1fe0016683384,t5mrn41wm7,Trevor_EX2,1,1,2020-10-23T15:25:40-07:00,8.8269689083099,4,Pure_Unrelated.csv,Control_VersionB.csv,"Control B","Control B",,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs.",Initial_Instruct,Instruct1,8160,,,-1,-1,,,,,1
5cacce6db3e1fe0016683384,t5mrn41wm7,Trevor_EX2,1,2,2020-10-23T15:25:49-07:00,9.0171139240265,4,Pure_Unrelated.csv,Control_VersionB.csv,"Control B","Control B",,,,,,0,Instruct,-,5,"As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,6618,,,-1,-1,,,,,1
5cacce6db3e1fe0016683384,t5mrn41wm7,Trevor_EX2,1,3,2020-10-23T15:26:01-07:00,11.567875146866,4,Pure_Unrelated.csv,Control_VersionB.csv,"Control B","Control B",,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,10902,,,-1,-1,,,,,1
5cacce6db3e1fe0016683384,t5mrn41wm7,Trevor_EX2,1,4,2020-10-23T15:26:13-07:00,11.847513914108,4,Pure_Unrelated.csv,Control_VersionB.csv,"Control B","Control B",,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,11200,,,-1,-1,,,,,1
5cacce6db3e1fe0016683384,t5mrn41wm7,Trevor_EX2,1,5,2020-10-23T15:26:15-07:00,2.2460379600525,4,Pure_Unrelated.csv,Control_VersionB.csv,"Control B","Control B",,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,1717,,,-1,-1,,,,,1
5cacce6db3e1fe0016683384,t5mrn41wm7,Trevor_EX2,1,6,2020-10-23T15:26:24-07:00,9.0572969913483,4,Pure_Unrelated.csv,Control_VersionB.csv,"Control B","Control B",CAMP,ADVENTURE,BUFFER3,Buffer,95,53,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,8483,,,7636,8116,,,,25,1
5cacce6db3e1fe0016683384,t5mrn41wm7,Trevor_EX2,1,7,2020-10-23T15:26:27-07:00,3.3686349391937,4,Pure_Unrelated.csv,Control_VersionB.csv,"Control B","Control B",NOODLE,STRING,BUFFER3,Buffer,92,55,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,2867,,,2618,2618,,,,0,1
5cacce6db3e1fe0016683384,t5mrn41wm7,Trevor_EX2,1,8,2020-10-23T15:26:30-07:00,2.5853772163391,4,Pure_Unrelated.csv,Control_VersionB.csv,"Control B","Control B",CARROT,POTATO,BUFFER3,Buffer,91,52,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,2128,,,1817,1934,,,,40,1
5cacce6db3e1fe0016683384,t5mrn41wm7,Trevor_EX2,1,9,2020-10-23T15:26:33-07:00,2.6067419052124,4,Pure_Unrelated.csv,Control_VersionB.csv,"Control B","Control B",SHRIMP,FISH,BUFFER3,Buffer,93,54,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,2135,,,1816,1966,,,,50,1
5cacce6db3e1fe0016683384,t5mrn41wm7,Trevor_EX2,1,10,2020-10-23T15:26:35-07:00,2.4436979293823,4,Pure_Unrelated.csv,Control_VersionB.csv,"Control B","Control B",ICE,FROZEN,BUFFER3,Buffer,94,56,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,1975,,,1746,1810,,,,90,1
