Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
5f5e3cf646d1426af7f28097,0ei1n2re3t,Trevor_EX2,1,1,2020-10-23T14:42:28-07:00,6.4767580032349,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs.",Initial_Instruct,Instruct1,6157,,,-1,-1,,,,,1
5f5e3cf646d1426af7f28097,0ei1n2re3t,Trevor_EX2,1,2,2020-10-23T14:42:42-07:00,13.204678058624,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",,,,,,0,Instruct,-,5,"As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,12709,,,-1,-1,,,,,1
5f5e3cf646d1426af7f28097,0ei1n2re3t,Trevor_EX2,1,3,2020-10-23T14:42:55-07:00,13.307826042175,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,12915,,,-1,-1,,,,,1
5f5e3cf646d1426af7f28097,0ei1n2re3t,Trevor_EX2,1,4,2020-10-23T14:43:07-07:00,12.216610908508,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,11499,,,-1,-1,,,,,1
5f5e3cf646d1426af7f28097,0ei1n2re3t,Trevor_EX2,1,5,2020-10-23T14:43:09-07:00,2.1165618896484,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,1408,,,-1,-1,,,,,1
5f5e3cf646d1426af7f28097,0ei1n2re3t,Trevor_EX2,1,6,2020-10-23T14:43:16-07:00,6.7049400806427,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",TREES,GREEN,BUFFER1,Buffer,1,4,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,5983,,,5029,5162,,,,90,1
5f5e3cf646d1426af7f28097,0ei1n2re3t,Trevor_EX2,1,7,2020-10-23T14:43:22-07:00,5.8790791034698,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",BASEBALL,CATCHER,BUFFER1,Buffer,2,6,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,5259,,,4405,4639,,,,45,1
5f5e3cf646d1426af7f28097,0ei1n2re3t,Trevor_EX2,1,8,2020-10-23T14:43:26-07:00,3.7544949054718,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",PEANUT,BUTTER,BUFFER1,Buffer,3,3,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,3178,,,2157,2519,,,,100,1
5f5e3cf646d1426af7f28097,0ei1n2re3t,Trevor_EX2,1,9,2020-10-23T14:43:31-07:00,5.4221351146698,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",SPACE,JAM,BUFFER1,Buffer,5,2,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,4850,,,3771,3953,,,,85,1
5f5e3cf646d1426af7f28097,0ei1n2re3t,Trevor_EX2,1,10,2020-10-23T14:43:40-07:00,8.8759210109711,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",SCARE,HIDE,BUFFER1,Buffer,4,5,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,8368,,,5012,7787,,,,50,1
