Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
W10063353_SDP,cr9f4repwb,Trevor_EX2,1,1,2020-10-18T17:05:45-07:00,6.7948279380798,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs.",Initial_Instruct,Instruct1,6504,,,-1,-1,,,,,1
W10063353_SDP,cr9f4repwb,Trevor_EX2,1,2,2020-10-18T17:06:17-07:00,31.473894119263,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",,,,,,0,Instruct,-,5,"As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,31250,,,-1,-1,,,,,0.803
W10063353_SDP,cr9f4repwb,Trevor_EX2,1,3,2020-10-18T17:06:28-07:00,11.498812913895,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,11169,,,-1,-1,,,,,0.696
W10063353_SDP,cr9f4repwb,Trevor_EX2,1,4,2020-10-18T17:06:42-07:00,14.02140712738,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,13702,,,-1,-1,,,,,0.696
W10063353_SDP,cr9f4repwb,Trevor_EX2,1,5,2020-10-18T17:06:46-07:00,3.7987778186798,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,3515,,,-1,-1,,,,,1
W10063353_SDP,cr9f4repwb,Trevor_EX2,1,6,2020-10-18T17:06:54-07:00,8.2528760433197,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",SPACE,JAM,BUFFER1,Buffer,5,4,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,8016,,,6075,6760,,,,100,1
W10063353_SDP,cr9f4repwb,Trevor_EX2,1,7,2020-10-18T17:07:01-07:00,6.7365341186523,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",BASEBALL,CATCHER,BUFFER1,Buffer,2,3,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,6459,,,2455,4903,,,,100,1
W10063353_SDP,cr9f4repwb,Trevor_EX2,1,8,2020-10-18T17:07:04-07:00,3.2366769313812,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",TREES,GREEN,BUFFER1,Buffer,1,6,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,2999,,,1833,2021,,,,99,1
W10063353_SDP,cr9f4repwb,Trevor_EX2,1,9,2020-10-18T17:07:09-07:00,4.7612218856812,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",PEANUT,BUTTER,BUFFER1,Buffer,3,5,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,4452,,,2067,3316,,,,100,1
W10063353_SDP,cr9f4repwb,Trevor_EX2,1,10,2020-10-18T17:07:14-07:00,4.7887401580811,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",SCARE,HIDE,BUFFER1,Buffer,4,2,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,4577,,,2707,3328,,,,89,1
