Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10043192,ye2hd4xojo,Trevor_EX2,1,1,2020-11-19T10:56:16-08:00,28.60036110878,4,Pure_Unrelated.csv,Control_VersionB.csv,"Control B","Control B",,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs.",Initial_Instruct,Instruct1,28409,,,-1,-1,,,,,0.672
w10043192,ye2hd4xojo,Trevor_EX2,1,2,2020-11-19T10:56:22-08:00,5.5805389881134,4,Pure_Unrelated.csv,Control_VersionB.csv,"Control B","Control B",,,,,,0,Instruct,-,5,"As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,5319,,,-1,-1,,,,,1
w10043192,ye2hd4xojo,Trevor_EX2,1,3,2020-11-19T10:56:35-08:00,13.000461816788,4,Pure_Unrelated.csv,Control_VersionB.csv,"Control B","Control B",,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,12767,,,-1,-1,,,,,1
w10043192,ye2hd4xojo,Trevor_EX2,1,4,2020-11-19T10:56:46-08:00,11.085638999939,4,Pure_Unrelated.csv,Control_VersionB.csv,"Control B","Control B",,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,10806,,,-1,-1,,,,,1
w10043192,ye2hd4xojo,Trevor_EX2,1,5,2020-11-19T10:56:48-08:00,1.8789961338043,4,Pure_Unrelated.csv,Control_VersionB.csv,"Control B","Control B",,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,1631,,,-1,-1,,,,,1
w10043192,ye2hd4xojo,Trevor_EX2,1,6,2020-11-19T10:56:56-08:00,7.8455889225006,4,Pure_Unrelated.csv,Control_VersionB.csv,"Control B","Control B",SHRIMP,FISH,BUFFER3,Buffer,93,55,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,7629,,,6172,6284,,,,80,1
w10043192,ye2hd4xojo,Trevor_EX2,1,7,2020-11-19T10:56:59-08:00,3.2302160263062,4,Pure_Unrelated.csv,Control_VersionB.csv,"Control B","Control B",CAMP,ADVENTURE,BUFFER3,Buffer,95,52,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,2966,,,2409,2627,,,,40,1
w10043192,ye2hd4xojo,Trevor_EX2,1,8,2020-11-19T10:57:03-08:00,4.1379950046539,4,Pure_Unrelated.csv,Control_VersionB.csv,"Control B","Control B",CARROT,POTATO,BUFFER3,Buffer,91,56,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,3946,,,3527,3750,,,,80,1
w10043192,ye2hd4xojo,Trevor_EX2,1,9,2020-11-19T10:57:06-08:00,2.855376958847,4,Pure_Unrelated.csv,Control_VersionB.csv,"Control B","Control B",ICE,FROZEN,BUFFER3,Buffer,94,54,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,2670,,,1929,2360,,,,100,1
w10043192,ye2hd4xojo,Trevor_EX2,1,10,2020-11-19T10:57:09-08:00,3.3288171291351,4,Pure_Unrelated.csv,Control_VersionB.csv,"Control B","Control B",NOODLE,STRING,BUFFER3,Buffer,92,53,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,3092,,,2626,2793,,,,30,1
w10043192,ye2hd4xojo,Trevor_EX2,1,11,2020-11-19T10:57:12-08:00,3.1363918781281,4,Pure_Unrelated.csv,Control_VersionB.csv,"Control B","Control B",POSITION,MACHINE,Study2,U,106,71,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,"Study Phase",2950,,,2546,2636,,,,20,1
