Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w215057,w082vre38t,Trevor_EX2,1,1,2020-10-12T09:33:45-07:00,6.174595117569,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs.",Initial_Instruct,Instruct1,5866,,,-1,-1,,,,,1
w215057,w082vre38t,Trevor_EX2,1,2,2020-10-12T09:33:52-07:00,6.56085896492,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",,,,,,0,Instruct,-,5,"As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,6248,,,-1,-1,,,,,1
w215057,w082vre38t,Trevor_EX2,1,3,2020-10-12T09:34:03-07:00,11.151504993439,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,10852,,,-1,-1,,,,,1
w215057,w082vre38t,Trevor_EX2,1,4,2020-10-12T09:34:14-07:00,10.60679101944,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,10310,,,-1,-1,,,,,1
w215057,w082vre38t,Trevor_EX2,1,5,2020-10-12T09:34:17-07:00,3.3323619365692,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,3003,,,-1,-1,,,,,1
w215057,w082vre38t,Trevor_EX2,1,6,2020-10-12T09:34:30-07:00,13.461517095566,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",TREES,GREEN,BUFFER1,Buffer,1,6,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,13120,,,11286,11711,,,,100,1
w215057,w082vre38t,Trevor_EX2,1,7,2020-10-12T09:34:56-07:00,25.342413902283,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",SCARE,HIDE,BUFFER1,Buffer,4,3,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,25008,,,9143,9627,,,,100,1
w215057,w082vre38t,Trevor_EX2,1,8,2020-10-12T09:35:09-07:00,12.678714990616,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",PEANUT,BUTTER,BUFFER1,Buffer,3,5,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,12267,,,8422,8929,,,,100,1
w215057,w082vre38t,Trevor_EX2,1,9,2020-10-12T09:35:18-07:00,9.9390199184418,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",SPACE,JAM,BUFFER1,Buffer,5,2,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,9565,,,7240,7735,,,,100,1
w215057,w082vre38t,Trevor_EX2,1,10,2020-10-12T09:35:33-07:00,14.504535198212,3,Pure_Unrelated.csv,Control_VersionA.csv,"Control A","Control A",BASEBALL,CATCHER,BUFFER1,Buffer,2,4,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,14234,,,9063,9537,,,,100,1
