Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
5b2c0de67297750001c794ab,mbds83fq8c,Trevor_EX2,1,1,2020-07-23T14:27:17-07:00,14.955763101578,1,Pure_Unrelated.csv,JOL_S_VersionA.csv,"Size U A","Size U A",,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs.",Initial_Instruct,Instruct1,14449,,,-1,-1,,,,,1
5b2c0de67297750001c794ab,mbds83fq8c,Trevor_EX2,1,2,2020-07-23T14:27:28-07:00,11.672024965286,1,Pure_Unrelated.csv,JOL_S_VersionA.csv,"Size U A","Size U A",,,,,,0,Instruct,-,5,"As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,10983,,,-1,-1,,,,,1
5b2c0de67297750001c794ab,mbds83fq8c,Trevor_EX2,1,3,2020-07-23T14:27:44-07:00,15.703783988953,1,Pure_Unrelated.csv,JOL_S_VersionA.csv,"Size U A","Size U A",,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,15086,,,-1,-1,,,,,1
5b2c0de67297750001c794ab,mbds83fq8c,Trevor_EX2,1,4,2020-07-23T14:27:55-07:00,11.098145008087,1,Pure_Unrelated.csv,JOL_S_VersionA.csv,"Size U A","Size U A",,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,10360,,,-1,-1,,,,,1
5b2c0de67297750001c794ab,mbds83fq8c,Trevor_EX2,1,5,2020-07-23T14:27:58-07:00,2.7746980190277,1,Pure_Unrelated.csv,JOL_S_VersionA.csv,"Size U A","Size U A",,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,2125,,,-1,-1,,,,,1
5b2c0de67297750001c794ab,mbds83fq8c,Trevor_EX2,1,6,2020-07-23T14:28:07-07:00,8.8334739208221,1,Pure_Unrelated.csv,JOL_S_VersionA.csv,"Size U A","Size U A",SCARE,HIDE,BUFFER1,Buffer,4,4,JOL_Small,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,8231,,,6635,7001,,,,86,1
5b2c0de67297750001c794ab,mbds83fq8c,Trevor_EX2,1,7,2020-07-23T14:28:14-07:00,7.104022026062,1,Pure_Unrelated.csv,JOL_S_VersionA.csv,"Size U A","Size U A",SPACE,JAM,BUFFER1,Buffer,5,2,JOL_Small,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,6417,,,5128,5345,,,,76,1
5b2c0de67297750001c794ab,mbds83fq8c,Trevor_EX2,1,8,2020-07-23T14:28:20-07:00,5.6126661300659,1,Pure_Unrelated.csv,JOL_S_VersionA.csv,"Size U A","Size U A",TREES,GREEN,BUFFER1,Buffer,1,3,JOL_Small,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,5018,,,2640,3905,,,,79,1
5b2c0de67297750001c794ab,mbds83fq8c,Trevor_EX2,1,9,2020-07-23T14:28:24-07:00,4.4678919315338,1,Pure_Unrelated.csv,JOL_S_VersionA.csv,"Size U A","Size U A",PEANUT,BUTTER,BUFFER1,Buffer,3,5,JOL_Large,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,4012,,,3177,3395,,,,65,1
5b2c0de67297750001c794ab,mbds83fq8c,Trevor_EX2,1,10,2020-07-23T14:28:27-07:00,3.3169801235199,1,Pure_Unrelated.csv,JOL_S_VersionA.csv,"Size U A","Size U A",BASEBALL,CATCHER,BUFFER1,Buffer,2,6,JOL_Large,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,2894,,,2068,2287,,,,43,1
