Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
5f0f472c3d324f0d536ece57,l6dux93o5i,Trevor-ex1,1,1,2020-07-17T09:42:17-07:00,6.5252130031586,4,versionC_stim.csv,JOL_SIZE_VersionD.csv,"Large vs small D","Large vs small",,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs.",Initial_Instruct,Instruct1,6168,,,-1,-1,,,,,1
5f0f472c3d324f0d536ece57,l6dux93o5i,Trevor-ex1,1,2,2020-07-17T09:42:36-07:00,19.153948068619,4,versionC_stim.csv,JOL_SIZE_VersionD.csv,"Large vs small D","Large vs small",,,,,,0,Instruct,-,10,"As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,18524,,,-1,-1,,,,,1
5f0f472c3d324f0d536ece57,l6dux93o5i,Trevor-ex1,1,3,2020-07-17T09:42:52-07:00,15.597790956497,4,versionC_stim.csv,JOL_SIZE_VersionD.csv,"Large vs small D","Large vs small",,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,15141,,,-1,-1,,,,,1
5f0f472c3d324f0d536ece57,l6dux93o5i,Trevor-ex1,1,4,2020-07-17T09:43:13-07:00,21.019267082214,4,versionC_stim.csv,JOL_SIZE_VersionD.csv,"Large vs small D","Large vs small",,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,20555,,,-1,-1,,,,,1
5f0f472c3d324f0d536ece57,l6dux93o5i,Trevor-ex1,1,5,2020-07-17T09:43:17-07:00,3.9115459918976,4,versionC_stim.csv,JOL_SIZE_VersionD.csv,"Large vs small D","Large vs small",,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,3419,,,-1,-1,,,,,1
5f0f472c3d324f0d536ece57,l6dux93o5i,Trevor-ex1,1,6,2020-07-17T09:43:40-07:00,23.163765907288,4,versionC_stim.csv,JOL_SIZE_VersionD.csv,"Large vs small D","Large vs small",FROZEN,ICE,BUFFER3,Buffer,94,96,JOL_Large,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,22556,,,14223,14496,,,,75,1
5f0f472c3d324f0d536ece57,l6dux93o5i,Trevor-ex1,1,7,2020-07-17T09:43:58-07:00,17.94536614418,4,versionC_stim.csv,JOL_SIZE_VersionD.csv,"Large vs small D","Large vs small",ADVENTURE,CAMP,BUFFER3,Buffer,95,93,JOL_Small,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,17343,,,13572,13924,,,,75,1
5f0f472c3d324f0d536ece57,l6dux93o5i,Trevor-ex1,1,8,2020-07-17T09:44:11-07:00,13.186106920242,4,versionC_stim.csv,JOL_SIZE_VersionD.csv,"Large vs small D","Large vs small",FISH,SHRIMP,BUFFER3,Buffer,93,92,JOL_Small,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,12548,,,9822,10123,,,,75,1
5f0f472c3d324f0d536ece57,l6dux93o5i,Trevor-ex1,1,9,2020-07-17T09:44:19-07:00,7.5181720256805,4,versionC_stim.csv,JOL_SIZE_VersionD.csv,"Large vs small D","Large vs small",STRING,NOODLE,BUFFER3,Buffer,92,95,JOL_Large,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,6989,,,4779,5036,,,,40,1
5f0f472c3d324f0d536ece57,l6dux93o5i,Trevor-ex1,1,10,2020-07-17T09:44:27-07:00,8.2259969711304,4,versionC_stim.csv,JOL_SIZE_VersionD.csv,"Large vs small D","Large vs small",POTATO,CARROT,BUFFER3,Buffer,91,94,JOL_Small,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,7684,,,5256,5515,,,,50,1
